date,close
2022-01-03,146.40
2022-01-04,149.60
2022-01-05,149.30
2022-01-06,147.90
2022-01-07,146.60
2022-01-10,147.55
2022-01-11,148.30
2022-01-12,149.55
2022-01-13,150.30
2022-01-14,150.30
2022-01-17,152.00
2022-01-18,150.30
2022-01-19,148.50
2022-01-20,149.10
2022-01-21,142.65
2022-01-24,144.00
2022-01-25,141.65
2022-01-26,141.55
2022-02-07,142.30
2022-02-08,142.90
2022-02-09,143.40
2022-02-10,145.05
2022-02-11,144.95
2022-02-14,142.70
2022-02-15,142.05
2022-02-16,144.40
2022-02-17,144.50
2022-02-18,144.10
2022-02-21,143.80
2022-02-22,141.85
2022-02-23,142.25
2022-02-24,138.80
2022-02-25,138.50
2022-03-01,140.45
2022-03-02,139.65
2022-03-03,139.95
2022-03-04,138.45
2022-03-07,134.00
2022-03-08,131.15
2022-03-09,132.50
2022-03-10,136.35
2022-03-11,134.40
2022-03-14,134.40
2022-03-15,131.65
2022-03-16,132.20
2022-03-17,136.40
2022-03-18,136.10
2022-03-21,137.00
2022-03-22,136.80
2022-03-23,138.10
2022-03-24,138.00
2022-03-25,138.20
2022-03-28,136.70
2022-03-29,136.85
2022-03-30,138.55
2022-03-31,138.10
2022-04-01,136.95
2022-04-06,136.25
2022-04-07,133.80
2022-04-08,134.55
2022-04-11,132.45
2022-04-12,132.55
2022-04-13,135.05
2022-04-14,134.55
2022-04-15,132.25
2022-04-18,131.55
2022-04-19,132.00
2022-04-20,132.65
2022-04-21,132.75
2022-04-22,131.60
2022-04-25,129.25
2022-04-26,129.25
2022-04-27,126.55
2022-04-28,127.10
2022-04-29,128.75
2022-05-03,127.80
2022-05-04,127.80
2022-05-05,129.25
2022-05-06,126.65
2022-05-09,124.55
2022-05-10,124.00
2022-05-11,124.20
2022-05-12,121.25
2022-05-13,122.35
2022-05-16,123.00
2022-05-17,124.35
2022-05-18,125.70
2022-05-19,123.30
2022-05-20,124.65
2022-05-23,124.90
2022-05-24,123.50
2022-05-25,124.45
2022-05-26,122.90
2022-05-27,125.50
2022-05-30,128.55
2022-05-31,129.80
2022-06-01,129.15
2022-06-02,127.80
2022-06-06,128.70
2022-06-07,127.40
2022-06-08,128.80
2022-06-09,128.40
2022-06-10,127.10
2022-06-13,123.55
2022-06-14,123.35
2022-06-15,122.75
2022-06-16,122.50
2022-06-17,120.85
2022-06-20,119.75
2022-06-21,122.20
2022-06-22,119.50
2022-06-23,117.90
2022-06-24,118.15
2022-06-27,120.95
2022-06-28,119.80
2022-06-29,118.80
2022-06-30,115.80
2022-07-01,111.55
2022-07-04,110.45
2022-07-05,111.00
2022-07-06,108.85
2022-07-07,112.10
2022-07-08,113.25
2022-07-11,112.25
2022-07-12,109.55
2022-07-13,113.45
2022-07-14,114.00
2022-07-15,115.50
2022-07-18,114.20
2022-07-19,114.30
2022-07-20,115.05
2022-07-21,116.35
2022-07-22,116.80
2022-07-25,116.70
2022-07-26,115.65
2022-07-27,116.70
2022-07-28,116.90
2022-07-29,118.00
2022-08-01,117.65
2022-08-02,115.55
2022-08-03,116.25
2022-08-04,116.55
2022-08-05,119.50
2022-08-08,119.25
2022-08-09,119.15
2022-08-10,117.90
2022-08-11,120.05
2022-08-12,120.80
2022-08-15,121.90
2022-08-16,122.10
2022-08-17,122.15
2022-08-18,121.35
2022-08-19,121.55
2022-08-22,119.80
2022-08-23,118.20
2022-08-24,117.90
2022-08-25,119.00
2022-08-26,119.60
2022-08-29,116.55
2022-08-30,116.75
2022-08-31,117.60
2022-09-01,115.15
2022-09-02,113.90
2022-09-05,114.15
2022-09-06,114.90
2022-09-07,112.20
2022-09-08,113.00
2022-09-12,115.40
2022-09-13,116.00
2022-09-14,113.65
2022-09-15,113.85
2022-09-16,112.55
2022-09-19,112.05
2022-09-20,113.05
2022-09-21,112.10
2022-09-22,110.75
2022-09-23,109.70
2022-09-26,107.65
2022-09-27,107.50
2022-09-28,105.25
2022-09-29,104.90
2022-09-30,103.45
2022-10-03,102.20
2022-10-04,104.80
2022-10-05,107.25
2022-10-06,108.00
2022-10-07,106.20
2022-10-11,100.70
2022-10-12,100.20
2022-10-13,99.00
2022-10-14,101.85
2022-10-17,99.95
2022-10-18,101.10
2022-10-19,99.75
2022-10-20,99.20
2022-10-21,98.90
2022-10-24,98.60
2022-10-25,96.70
2022-10-26,97.60
2022-10-27,99.00
2022-10-28,97.75
2022-10-31,99.05
2022-11-01,99.60
2022-11-02,100.00
2022-11-03,98.70
2022-11-04,98.85
2022-11-07,100.55
2022-11-08,101.60
2022-11-09,104.50
2022-11-10,103.50
2022-11-11,109.00
2022-11-14,110.00
2022-11-15,114.70
2022-11-16,114.50
2022-11-17,114.55
2022-11-18,114.25
2022-11-21,113.85
2022-11-22,114.80
2022-11-23,115.60
2022-11-24,116.70
2022-11-25,116.70
2022-11-28,114.35
2022-11-29,115.40
2022-11-30,116.35
2022-12-01,118.35
